# Der folgende Quellcode ist gemeinfrei bzw. steht unter Liz. „CC0 1.0 Verzicht auf das Copyright“
# (gegen freundliche Nennung des Verbreitungsweges habe ich nat. keine Einwände)
# Auszug der WHO Daten von https://covid19.who.int/WHO-COVID-19-global-data.csv als HereDoc mit Delimiter "EndOfData"
# (als Separator wurde Komma durch Semikolon getauscht um Verwechslung zum deut. Dezimaltrenner zu vermeiden)
#
# 1. Spalte: Date_reported 
# 2. Spalte: Country_code 
# 3. Spalte: Country 
# 4. Spalte: WHO_region 
# 5. Spalte: New_cases 
# 6. Spalte: Cumulative_cases 
# 7. Spalte: New_deaths 
# 8. Spalte: Cumulative_deaths
2020-01-03;DE;Germany;EURO;0;0;0;0
2020-01-04;DE;Germany;EURO;1;1;0;0
2020-01-05;DE;Germany;EURO;0;1;3;3
2020-01-06;DE;Germany;EURO;0;1;0;3
2020-01-07;DE;Germany;EURO;0;1;0;3
2020-01-08;DE;Germany;EURO;0;1;0;3
2020-01-09;DE;Germany;EURO;0;1;0;3
2020-01-10;DE;Germany;EURO;0;1;0;3
2020-01-11;DE;Germany;EURO;0;1;0;3
2020-01-12;DE;Germany;EURO;0;1;0;3
2020-01-13;DE;Germany;EURO;0;1;0;3
2020-01-14;DE;Germany;EURO;0;1;0;3
2020-01-15;DE;Germany;EURO;0;1;0;3
2020-01-16;DE;Germany;EURO;0;1;0;3
2020-01-17;DE;Germany;EURO;0;1;0;3
2020-01-18;DE;Germany;EURO;0;1;0;3
2020-01-19;DE;Germany;EURO;0;1;0;3
2020-01-20;DE;Germany;EURO;0;1;0;3
2020-01-21;DE;Germany;EURO;0;1;0;3
2020-01-22;DE;Germany;EURO;0;1;0;3
2020-01-23;DE;Germany;EURO;0;1;0;3
2020-01-24;DE;Germany;EURO;0;1;0;3
2020-01-25;DE;Germany;EURO;0;1;0;3
2020-01-26;DE;Germany;EURO;1;2;3;6
2020-01-27;DE;Germany;EURO;0;2;0;6
2020-01-28;DE;Germany;EURO;0;2;0;6
2020-01-29;DE;Germany;EURO;0;2;0;6
2020-01-30;DE;Germany;EURO;0;2;0;6
2020-01-31;DE;Germany;EURO;0;2;0;6
2020-02-01;DE;Germany;EURO;0;2;0;6
2020-02-02;DE;Germany;EURO;9;11;3;9
2020-02-03;DE;Germany;EURO;0;11;0;9
2020-02-04;DE;Germany;EURO;0;11;0;9
2020-02-05;DE;Germany;EURO;0;11;0;9
2020-02-06;DE;Germany;EURO;0;11;0;9
2020-02-07;DE;Germany;EURO;0;11;0;9
2020-02-08;DE;Germany;EURO;0;11;0;9
2020-02-09;DE;Germany;EURO;9;20;0;9
2020-02-10;DE;Germany;EURO;0;20;0;9
2020-02-11;DE;Germany;EURO;0;20;0;9
2020-02-12;DE;Germany;EURO;0;20;0;9
2020-02-13;DE;Germany;EURO;0;20;0;9
2020-02-14;DE;Germany;EURO;0;20;0;9
2020-02-15;DE;Germany;EURO;0;20;0;9
2020-02-16;DE;Germany;EURO;5;25;0;9
2020-02-17;DE;Germany;EURO;0;25;0;9
2020-02-18;DE;Germany;EURO;0;25;0;9
2020-02-19;DE;Germany;EURO;0;25;0;9
2020-02-20;DE;Germany;EURO;0;25;0;9
2020-02-21;DE;Germany;EURO;0;25;0;9
2020-02-22;DE;Germany;EURO;0;25;0;9
2020-02-23;DE;Germany;EURO;6;31;1;10
2020-02-24;DE;Germany;EURO;0;31;0;10
2020-02-25;DE;Germany;EURO;0;31;0;10
2020-02-26;DE;Germany;EURO;0;31;0;10
2020-02-27;DE;Germany;EURO;0;31;0;10
2020-02-28;DE;Germany;EURO;0;31;0;10
2020-02-29;DE;Germany;EURO;0;31;0;10
2020-03-01;DE;Germany;EURO;139;170;1;11
2020-03-02;DE;Germany;EURO;0;170;0;11
2020-03-03;DE;Germany;EURO;0;170;0;11
2020-03-04;DE;Germany;EURO;0;170;0;11
2020-03-05;DE;Germany;EURO;0;170;0;11
2020-03-06;DE;Germany;EURO;0;170;0;11
2020-03-07;DE;Germany;EURO;0;170;0;11
2020-03-08;DE;Germany;EURO;905;1075;12;23
2020-03-09;DE;Germany;EURO;0;1075;0;23
2020-03-10;DE;Germany;EURO;0;1075;0;23
